ID=1 | Name=LollipopLagelu | Artist=PawanSingh | Duration:232
ID=2 | Name=RinkiyaKePapa | Artist=ManojTiwari | Duration:241
ID=3 | Name=WhyThisKolaveriDi | Artist=Dhanush | Duration:247
ID=4 | Name=GangnamStyle | Artist=PSY | Duration:219
ID=5 | Name=RickRoll | Artist=RickAstley | Duration:213
ID=6 | Name=KachaBadam | Artist=BhubanBadyakar | Duration:205
ID=7 | Name=SelfieMaineLeliAaj | Artist=DhinchakPooja | Duration:198
ID=8 | Name=TunakTunakTun | Artist=DalerMehndi | Duration:256
ID=9 | Name=PPAP | Artist=Pikotaro | Duration:65
ID=10 | Name=TheFoxWhatDoesTheFoxSay | Artist=Ylvis | Duration:230
ID=11 | Name=GarmiSong | Artist=Badshah | Duration:192
ID=12 | Name=BentleyVsBMW | Artist=KhesariLalYadav | Duration:260
ID=13 | Name=DameTuCosita | Artist=ElChombo | Duration:202
ID=14 | Name=ChhathMaiyaKeBhajan | Artist=KhesariLalYadav | Duration:301
ID=15 | Name=BabyShark | Artist=Pinkfong | Duration:157
ID=16 | Name=DragosteaDinTei | Artist=OZone | Duration:207
ID=17 | Name=ChocolateLagelu | Artist=PawanSingh | Duration:205
ID=18 | Name=Friday | Artist=RebeccaBlack | Duration:220
ID=19 | Name=BhatarAieheHolibMe | Artist=PawanSingh | Duration:251
ID=20 | Name=BabyDoll | Artist=KanikaKapoor | Duration:228
